Draw Date,Draw#,Numbers,PowerBall,Multiplier,Jackpot,Wins,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5
2012-07-04,1147,4-14-30-32-35,7,,5722552.74,0.0,4,14,30,32,35
2012-07-07,1148,16-19-26-29-34,3,,6757001.02,1.0,16,19,26,29,34
2012-07-11,1149,4-18-23-32-36,6,,1000000.0,0.0,4,18,23,32,36
2012-07-14,1150,1-8-19-22-31,4,,1000000.0,0.0,1,8,19,22,31
2012-07-18,1151,8-15-21-22-30,8,,1000000.0,0.0,8,15,21,22,30
2012-07-21,1152,2-17-18-28-34,10,,1390216.12,0.0,2,17,18,28,34
2012-07-25,1153,3-4-10-16-33,10,,1706468.46,0.0,3,4,10,16,33
2012-07-28,1154,14-16-31-33-34,7,,2137845.81,0.0,14,16,31,33,34
2012-08-01,1155,10-12-13-34-35,3,,2480073.78,1.0,10,12,13,34,35
2012-08-04,1156,12-24-29-32-36,2,,1000000.0,0.0,12,24,29,32,36
2012-08-08,1157,8-9-29-30-32,2,,1000000.0,0.0,8,9,29,30,32
2012-08-11,1158,2-11-28-32-36,10,,1000000.0,0.0,2,11,28,32,36
2012-08-15,1159,2-11-14-25-30,5,,1290042.62,1.0,2,11,14,25,30
2012-08-18,1160,4-7-15-26-35,3,,1000000.0,0.0,4,7,15,26,35
2012-08-22,1161,4-10-23-27-29,3,,1000000.0,0.0,4,10,23,27,29
2012-08-25,1162,16-24-25-31-36,10,,,,16,24,25,31,36
2012-08-29,1163,1-5-20-22-36,3,,1000000.0,0.0,1,5,20,22,36
2012-09-01,1164,2-6-33-35-36,8,,1000000.0,0.0,2,6,33,35,36
2012-09-05,1165,2-13-17-20-31,7,,1000000.0,0.0,2,13,17,20,31
2012-09-08,1166,3-6-12-17-33,6,,1306717.5,0.0,3,6,12,17,33
2012-09-12,1167,16-17-19-20-22,1,,1629305.93,1.0,16,17,19,20,22
2012-09-15,1168,9-15-17-26-31,7,,1000000.0,0.0,9,15,17,26,31
2012-09-19,1169,1-5-22-25-28,3,,1010193.79,0.0,1,5,22,25,28
2012-09-22,1170,10-23-25-32-35,9,,1681487.0,0.0,10,23,25,32,35
2012-09-26,1171,1-5-14-26-29,3,,2233295.15,0.0,1,5,14,26,29
2012-09-29,1172,17-22-26-32-35,7,,3013033.39,0.0,17,22,26,32,35
2012-10-03,1173,3-6-15-17-24,6,,3823207.93,0.0,3,6,15,17,24
2012-10-06,1174,2-9-13-14-21,1,,4896693.41,0.0,2,9,13,14,21
